Make,Model,Car_Age,Fuel_Type_RegularUnleaded,Fuel_Type_Premium,Fuel_Type_FlexFuel,Fuel_Type_Diesel,Fuel_Type_NaturalGas,Fuel_Type_Electric,Engine_HP,Engine_Cylinders,Transmission_Automatic,Transmission_Manual,Transmission_AutomatedManual,Transmission_DirectDrive,Transmission_Unknown,Drive_RearWheel,Drive_FrontWheel,Drive_AllWheel,Drive_FourWheel,Number_of_Doors,Market_Category_FactoryTuner,Market_Category_Luxury,Market_Category_Performance,Market_Category_High-Performance,Market_Category_Exotic,Market_Category_FlexFuel,Market_Category_Hybrid,Market_Category_Crossover,Market_Category_Hatchback,Market_Category_Diesel,Market_Category_N/A,VehicleStyle_Coupe,VehicleStyle_Convertible,VehicleStyle_Sedan,VehicleStyle_Wagon,VehicleStyle_4drHatchback,VehicleStyle_2drHatchback,VehicleStyle_4drSUV,VehicleStyle_PassengerMinivan,VehicleStyle_CargoMinivan,VehicleStyle_CrewCabPickup,VehicleStyle_RegularCabPickup,VehicleStyle_ExtendedCabPickup,VehicleStyle_2drSUV,VehicleStyle_CargoVan,VehicleStyle_ConvertibleSUV,VehicleStyle_PassengerVan,average_MPG,Popularity,MSRP_LogBase,MSRP_UnLogged
FIAT,124 Spider,7,0,0,0,0,0,0,160,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,819,4.4502,28195
Mercedes-Benz,190-Class,33,1,0,0,0,0,0,130,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,617,3.3010,2000
Mercedes-Benz,190-Class,33,1,0,0,0,0,0,158,6,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,617,3.3010,2000
Mercedes-Benz,190-Class,32,1,0,0,0,0,0,158,6,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,617,3.3010,2000
Mercedes-Benz,190-Class,32,1,0,0,0,0,0,130,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,617,3.3010,2000
Mercedes-Benz,190-Class,31,1,0,0,0,0,0,130,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,617,3.3010,2000
Mercedes-Benz,190-Class,31,1,0,0,0,0,0,158,6,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,617,3.3010,2000
BMW,2 Series,8,0,1,0,0,0,0,240,4,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3916,4.5165,32850
BMW,2 Series,8,0,1,0,0,0,0,240,4,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,3916,4.5871,38650
BMW,2 Series,8,0,1,0,0,0,0,320,6,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,3916,4.6880,48750
BMW,2 Series,8,0,1,0,0,0,0,240,4,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3916,4.5422,34850
BMW,2 Series,8,0,1,0,0,0,0,240,4,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3916,4.6091,40650
BMW,2 Series,8,0,1,0,0,0,0,320,6,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,3916,4.6449,44150
BMW,2 Series,8,0,1,0,0,0,0,240,4,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3916,4.5165,32850
BMW,2 Series,8,0,1,0,0,0,0,320,6,1,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3916,4.6642,46150
BMW,2 Series,8,0,1,0,0,0,0,320,6,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3916,4.7054,50750
BMW,2 Series,7,0,0,0,0,0,0,335,6,1,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3916,4.6670,46450
BMW,2 Series,7,0,0,0,0,0,0,335,6,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,3916,4.6906,49050
BMW,2 Series,7,0,0,0,0,0,0,335,6,1,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,3916,4.7080,51050
BMW,2 Series,7,0,0,0,0,0,0,335,6,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,3916,4.6479,44450
BMW,2 Series,7,0,0,0,0,0,0,248,4,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,3916,4.5905,38950
BMW,2 Series,7,0,0,0,0,0,0,248,4,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,3916,4.5205,33150
BMW,2 Series,7,0,0,0,0,0,0,248,4,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,3916,4.5459,35150
BMW,2 Series,7,0,0,0,0,0,0,248,4,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3916,4.6123,40950
Audi,200,34,1,0,0,0,0,0,162,5,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3105,3.3010,2000
Audi,200,34,1,0,0,0,0,0,162,5,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.5,3105,3.3010,2000
Audi,200,34,1,0,0,0,0,0,162,5,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3105,3.3010,2000
Audi,200,33,1,0,0,0,0,0,217,5,0,1,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3105,3.3010,2000
Audi,200,33,1,0,0,0,0,0,217,5,0,1,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,3105,3.3010,2000
Audi,200,33,1,0,0,0,0,0,162,5,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3105,3.3010,2000
Chrysler,200,9,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4009,25170
Chrysler,200,9,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3793,23950
Chrysler,200,9,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1013,4.4679,29370
Chrysler,200,9,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3423,21995
Chrysler,200,9,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4253,26625
Chrysler,200,9,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1013,4.4889,30825
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3423,21995
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4440,27795
Chrysler,200,8,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1013,4.5022,31785
Chrysler,200,8,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1013,4.4757,29905
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3520,22490
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4404,27570
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4098,25690
Chrysler,200,8,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3890,24490
Chrysler,200,7,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1013,4.4757,29905
Chrysler,200,7,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1013,4.5022,31785
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4263,26685
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3520,22490
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4098,25690
Chrysler,200,7,0,0,1,0,0,0,295,6,1,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1013,4.4900,30900
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.4440,27795
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3423,21995
Chrysler,200,7,0,0,1,0,0,0,184,4,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1013,4.3890,24490
Nissan,200SX,28,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2009,3.3010,2000
Nissan,200SX,28,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2009,3.3010,2000
Nissan,200SX,28,1,0,0,0,0,0,140,4,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2009,3.3010,2000
Nissan,200SX,27,1,0,0,0,0,0,140,4,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2009,3.3010,2000
Nissan,200SX,27,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2009,3.3010,2000
Nissan,200SX,27,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2009,3.3010,2000
Nissan,200SX,26,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2009,3.3010,2000
Nissan,200SX,26,1,0,0,0,0,0,115,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2009,3.3010,2000
Nissan,200SX,26,1,0,0,0,0,0,140,4,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2009,3.3166,2073
Nissan,240SX,28,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.5697,3713
Nissan,240SX,28,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.5465,3520
Nissan,240SX,27,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.5922,3910
Nissan,240SX,27,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.6214,4182
Nissan,240SX,27,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.6135,4107
Nissan,240SX,26,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.6334,4299
Nissan,240SX,26,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.6715,4693
Nissan,240SX,26,1,0,0,0,0,0,155,4,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,2009,3.6135,4107
Volvo,240,33,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
Volvo,240,33,1,0,0,0,0,0,114,4,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.5,870,3.3010,2000
Volvo,240,33,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
Volvo,240,32,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
Volvo,240,32,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
Volvo,240,32,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
Volvo,240,31,1,0,0,0,0,0,114,4,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,870,3.3010,2000
